number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,state
0,0.8018867924528302,2026-07-08 15:58:13.735647,2026-07-08 15:58:13.735647,0 days 00:00:00,10,log2,5,2,COMPLETE
1,0.8018867924528302,2026-07-08 15:58:13.735647,2026-07-08 15:58:13.735647,0 days 00:00:00,100,log2,5,2,COMPLETE
2,0.8018867924528302,2026-07-08 15:58:13.735647,2026-07-08 15:58:13.735647,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
3,0.8018867924528302,2026-07-08 15:58:13.735647,2026-07-08 15:58:13.735647,0 days 00:00:00,100,log2,5,2,COMPLETE
4,0.8018867924528302,2026-07-08 15:58:13.735647,2026-07-08 15:58:13.735647,0 days 00:00:00,1000,sqrt,5,10,COMPLETE
5,0.7358490566037735,2026-07-08 15:58:13.735647,2026-07-08 15:58:13.751566,0 days 00:00:00.015919,100,sqrt,1,10,COMPLETE
6,0.7358490566037735,2026-07-08 15:58:13.751566,2026-07-08 15:58:13.751566,0 days 00:00:00,100,log2,1,10,COMPLETE
7,0.7358490566037735,2026-07-08 15:58:13.751566,2026-07-08 15:58:13.751566,0 days 00:00:00,1000,sqrt,1,10,COMPLETE
8,0.7264150943396226,2026-07-08 15:58:13.751566,2026-07-08 15:58:13.751566,0 days 00:00:00,1000,sqrt,1,2,COMPLETE
9,0.8018867924528302,2026-07-08 15:58:13.751566,2026-07-08 15:58:13.751566,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
10,0.8018867924528302,2026-07-08 15:58:13.751566,2026-07-08 15:58:13.751566,0 days 00:00:00,10,log2,5,2,COMPLETE
11,0.8018867924528302,2026-07-08 15:58:13.767315,2026-07-08 15:58:13.767315,0 days 00:00:00,10,log2,5,2,COMPLETE
12,0.8018867924528302,2026-07-08 15:58:13.767315,2026-07-08 15:58:13.767315,0 days 00:00:00,10,log2,5,2,COMPLETE
13,0.8018867924528302,2026-07-08 15:58:13.767315,2026-07-08 15:58:13.767315,0 days 00:00:00,10,log2,5,2,COMPLETE
14,0.8018867924528302,2026-07-08 15:58:13.767315,2026-07-08 15:58:13.767315,0 days 00:00:00,100,log2,5,2,COMPLETE
15,0.8018867924528302,2026-07-08 15:58:13.767315,2026-07-08 15:58:13.783106,0 days 00:00:00.015791,10,log2,5,2,COMPLETE
16,0.8018867924528302,2026-07-08 15:58:13.783106,2026-07-08 15:58:13.783106,0 days 00:00:00,100,log2,5,2,COMPLETE
17,0.8018867924528302,2026-07-08 15:58:13.783106,2026-07-08 15:58:13.783106,0 days 00:00:00,100,log2,5,2,COMPLETE
18,0.7358490566037735,2026-07-08 15:58:13.783106,2026-07-08 15:58:13.783106,0 days 00:00:00,10,log2,1,10,COMPLETE
19,0.8018867924528302,2026-07-08 15:58:13.783106,2026-07-08 15:58:13.799310,0 days 00:00:00.016204,10,log2,5,2,COMPLETE
20,0.8018867924528302,2026-07-08 15:58:13.799310,2026-07-08 15:58:13.799310,0 days 00:00:00,100,log2,5,2,COMPLETE
21,0.8018867924528302,2026-07-08 15:58:13.799310,2026-07-08 15:58:13.799310,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
22,0.8018867924528302,2026-07-08 15:58:13.799310,2026-07-08 15:58:13.799310,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
23,0.8018867924528302,2026-07-08 15:58:13.799310,2026-07-08 15:58:13.815087,0 days 00:00:00.015777,1000,sqrt,5,2,COMPLETE
24,0.8018867924528302,2026-07-08 15:58:13.815087,2026-07-08 15:58:13.815087,0 days 00:00:00,10,sqrt,5,2,COMPLETE
25,0.8018867924528302,2026-07-08 15:58:13.815087,2026-07-08 15:58:13.815087,0 days 00:00:00,100,log2,5,2,COMPLETE
26,0.7358490566037735,2026-07-08 15:58:13.815087,2026-07-08 15:58:13.815087,0 days 00:00:00,1000,sqrt,1,10,COMPLETE
27,0.8018867924528302,2026-07-08 15:58:13.815087,2026-07-08 15:58:13.830903,0 days 00:00:00.015816,10,log2,5,2,COMPLETE
28,0.8018867924528302,2026-07-08 15:58:13.830903,2026-07-08 15:58:13.830903,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
29,0.8018867924528302,2026-07-08 15:58:13.830903,2026-07-08 15:58:13.830903,0 days 00:00:00,100,log2,5,2,COMPLETE
30,0.8018867924528302,2026-07-08 15:58:13.830903,2026-07-08 15:58:13.830903,0 days 00:00:00,100,log2,5,2,COMPLETE
31,0.8018867924528302,2026-07-08 15:58:13.830903,2026-07-08 15:58:13.846693,0 days 00:00:00.015790,100,log2,5,2,COMPLETE
32,0.8018867924528302,2026-07-08 15:58:13.846693,2026-07-08 15:58:13.846693,0 days 00:00:00,100,log2,5,10,COMPLETE
33,0.8018867924528302,2026-07-08 15:58:13.846693,2026-07-08 15:58:13.846693,0 days 00:00:00,100,log2,5,2,COMPLETE
34,0.7358490566037735,2026-07-08 15:58:13.846693,2026-07-08 15:58:13.846693,0 days 00:00:00,100,sqrt,1,10,COMPLETE
35,0.7264150943396226,2026-07-08 15:58:13.846693,2026-07-08 15:58:13.862503,0 days 00:00:00.015810,1000,log2,1,2,COMPLETE
36,0.8018867924528302,2026-07-08 15:58:13.862503,2026-07-08 15:58:13.862503,0 days 00:00:00,100,sqrt,5,10,COMPLETE
37,0.8018867924528302,2026-07-08 15:58:13.862503,2026-07-08 15:58:13.862503,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
38,0.7264150943396226,2026-07-08 15:58:13.862503,2026-07-08 15:58:13.862503,0 days 00:00:00,100,log2,1,2,COMPLETE
39,0.8018867924528302,2026-07-08 15:58:13.862503,2026-07-08 15:58:13.878320,0 days 00:00:00.015817,10,log2,5,2,COMPLETE
40,0.8018867924528302,2026-07-08 15:58:13.878320,2026-07-08 15:58:13.878320,0 days 00:00:00,1000,sqrt,5,10,COMPLETE
41,0.8018867924528302,2026-07-08 15:58:13.878320,2026-07-08 15:58:13.878320,0 days 00:00:00,1000,sqrt,5,10,COMPLETE
42,0.8018867924528302,2026-07-08 15:58:13.878320,2026-07-08 15:58:13.894127,0 days 00:00:00.015807,1000,sqrt,5,10,COMPLETE
43,0.8018867924528302,2026-07-08 15:58:13.894127,2026-07-08 15:58:13.894127,0 days 00:00:00,1000,sqrt,5,10,COMPLETE
44,0.8018867924528302,2026-07-08 15:58:13.894127,2026-07-08 15:58:13.894127,0 days 00:00:00,10,sqrt,5,10,COMPLETE
45,0.8018867924528302,2026-07-08 15:58:13.894127,2026-07-08 15:58:13.894127,0 days 00:00:00,1000,log2,5,2,COMPLETE
46,0.7264150943396226,2026-07-08 15:58:13.894127,2026-07-08 15:58:13.909898,0 days 00:00:00.015771,100,log2,1,2,COMPLETE
47,0.8018867924528302,2026-07-08 15:58:13.909898,2026-07-08 15:58:13.909898,0 days 00:00:00,10,log2,5,2,COMPLETE
48,0.8018867924528302,2026-07-08 15:58:13.909898,2026-07-08 15:58:13.909898,0 days 00:00:00,1000,sqrt,5,10,COMPLETE
49,0.8018867924528302,2026-07-08 15:58:13.909898,2026-07-08 15:58:13.909898,0 days 00:00:00,10,log2,5,2,COMPLETE
50,0.8018867924528302,2026-07-08 15:58:13.909898,2026-07-08 15:58:13.925714,0 days 00:00:00.015816,100,sqrt,5,2,COMPLETE
51,0.8018867924528302,2026-07-08 15:58:13.925714,2026-07-08 15:58:13.925714,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
52,0.8018867924528302,2026-07-08 15:58:13.925714,2026-07-08 15:58:13.925714,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
53,0.8018867924528302,2026-07-08 15:58:13.925714,2026-07-08 15:58:13.925714,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
54,0.8018867924528302,2026-07-08 15:58:13.925714,2026-07-08 15:58:13.941507,0 days 00:00:00.015793,1000,sqrt,5,2,COMPLETE
55,0.8018867924528302,2026-07-08 15:58:13.941507,2026-07-08 15:58:13.941507,0 days 00:00:00,1000,log2,5,2,COMPLETE
56,0.8018867924528302,2026-07-08 15:58:13.941507,2026-07-08 15:58:13.941507,0 days 00:00:00,10,sqrt,5,2,COMPLETE
57,0.8018867924528302,2026-07-08 15:58:13.941507,2026-07-08 15:58:13.941507,0 days 00:00:00,100,log2,5,2,COMPLETE
58,0.7264150943396226,2026-07-08 15:58:13.957330,2026-07-08 15:58:13.957330,0 days 00:00:00,1000,log2,1,2,COMPLETE
59,0.8018867924528302,2026-07-08 15:58:13.957330,2026-07-08 15:58:13.957330,0 days 00:00:00,10,sqrt,5,10,COMPLETE
60,0.8018867924528302,2026-07-08 15:58:13.957330,2026-07-08 15:58:13.957330,0 days 00:00:00,100,log2,5,2,COMPLETE
61,0.8018867924528302,2026-07-08 15:58:13.957330,2026-07-08 15:58:13.973129,0 days 00:00:00.015799,10,log2,5,2,COMPLETE
62,0.8018867924528302,2026-07-08 15:58:13.973129,2026-07-08 15:58:13.973129,0 days 00:00:00,10,log2,5,2,COMPLETE
63,0.8018867924528302,2026-07-08 15:58:13.973129,2026-07-08 15:58:13.973129,0 days 00:00:00,10,log2,5,2,COMPLETE
64,0.8018867924528302,2026-07-08 15:58:13.973129,2026-07-08 15:58:13.973129,0 days 00:00:00,10,log2,5,2,COMPLETE
65,0.8018867924528302,2026-07-08 15:58:13.973129,2026-07-08 15:58:13.988953,0 days 00:00:00.015824,100,log2,5,2,COMPLETE
66,0.8018867924528302,2026-07-08 15:58:13.988953,2026-07-08 15:58:13.988953,0 days 00:00:00,1000,log2,5,2,COMPLETE
67,0.8018867924528302,2026-07-08 15:58:13.988953,2026-07-08 15:58:13.988953,0 days 00:00:00,10,sqrt,5,2,COMPLETE
68,0.7264150943396226,2026-07-08 15:58:13.988953,2026-07-08 15:58:14.004707,0 days 00:00:00.015754,100,log2,1,2,COMPLETE
69,0.8018867924528302,2026-07-08 15:58:14.004707,2026-07-08 15:58:14.004707,0 days 00:00:00,1000,sqrt,5,10,COMPLETE
70,0.8018867924528302,2026-07-08 15:58:14.004707,2026-07-08 15:58:14.004707,0 days 00:00:00,10,log2,5,2,COMPLETE
71,0.8018867924528302,2026-07-08 15:58:14.004707,2026-07-08 15:58:14.004707,0 days 00:00:00,10,log2,5,2,COMPLETE
72,0.8018867924528302,2026-07-08 15:58:14.004707,2026-07-08 15:58:14.020442,0 days 00:00:00.015735,10,log2,5,2,COMPLETE
73,0.8018867924528302,2026-07-08 15:58:14.020442,2026-07-08 15:58:14.020442,0 days 00:00:00,10,log2,5,2,COMPLETE
74,0.8018867924528302,2026-07-08 15:58:14.020442,2026-07-08 15:58:14.020442,0 days 00:00:00,100,log2,5,2,COMPLETE
75,0.8018867924528302,2026-07-08 15:58:14.020442,2026-07-08 15:58:14.036143,0 days 00:00:00.015701,10,log2,5,10,COMPLETE
76,0.8018867924528302,2026-07-08 15:58:14.036143,2026-07-08 15:58:14.036143,0 days 00:00:00,1000,sqrt,5,2,COMPLETE
