number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
0,0.8148148148148148,2026-07-09 13:59:54.875899,2026-07-09 13:59:54.960727,0 days 00:00:00.084828,relu,0.0005,"(5,)",1000,COMPLETE
1,0.8148148148148148,2026-07-09 13:59:54.960727,2026-07-09 13:59:54.976677,0 days 00:00:00.015950,relu,0.0005,"(10,)",200,COMPLETE
2,0.8518518518518519,2026-07-09 13:59:54.976677,2026-07-09 13:59:55.072628,0 days 00:00:00.095951,relu,0.0005,"(10,)",1000,COMPLETE
3,0.8148148148148148,2026-07-09 13:59:55.072628,2026-07-09 13:59:55.104535,0 days 00:00:00.031907,logistic,0.0001,"(10,)",200,COMPLETE
4,0.8148148148148148,2026-07-09 13:59:55.104535,2026-07-09 13:59:55.136517,0 days 00:00:00.031982,logistic,0.0005,"(5,)",200,COMPLETE
5,0.8888888888888888,2026-07-09 13:59:55.136517,2026-07-09 13:59:55.216784,0 days 00:00:00.080267,tanh,0.0001,"(10,)",1000,COMPLETE
6,0.7777777777777778,2026-07-09 13:59:55.216784,2026-07-09 13:59:55.248607,0 days 00:00:00.031823,relu,0.0001,"(5,)",200,COMPLETE
7,0.8148148148148148,2026-07-09 13:59:55.248607,2026-07-09 13:59:55.264445,0 days 00:00:00.015838,relu,0.0005,"(10,)",200,COMPLETE
8,0.8148148148148148,2026-07-09 13:59:55.264445,2026-07-09 13:59:55.296649,0 days 00:00:00.032204,logistic,0.0005,"(5,)",200,COMPLETE
9,0.8518518518518519,2026-07-09 13:59:55.296649,2026-07-09 13:59:55.392103,0 days 00:00:00.095454,relu,0.0005,"(10,)",1000,COMPLETE
10,0.8888888888888888,2026-07-09 13:59:55.392103,2026-07-09 13:59:55.487985,0 days 00:00:00.095882,tanh,0.0001,"(10,)",1000,COMPLETE
11,0.8888888888888888,2026-07-09 13:59:55.487985,2026-07-09 13:59:55.583680,0 days 00:00:00.095695,tanh,0.0001,"(10,)",1000,COMPLETE
12,0.8888888888888888,2026-07-09 13:59:55.583680,2026-07-09 13:59:55.680505,0 days 00:00:00.096825,tanh,0.0001,"(10,)",1000,COMPLETE
13,0.8888888888888888,2026-07-09 13:59:55.680505,2026-07-09 13:59:55.776444,0 days 00:00:00.095939,tanh,0.0001,"(10,)",1000,COMPLETE
14,0.8888888888888888,2026-07-09 13:59:55.776444,2026-07-09 13:59:55.871821,0 days 00:00:00.095377,tanh,0.0001,"(10,)",1000,COMPLETE
15,0.8888888888888888,2026-07-09 13:59:55.871821,2026-07-09 13:59:55.967481,0 days 00:00:00.095660,tanh,0.0001,"(10,)",1000,COMPLETE
16,0.8888888888888888,2026-07-09 13:59:55.967481,2026-07-09 13:59:56.063588,0 days 00:00:00.096107,tanh,0.0001,"(10,)",1000,COMPLETE
17,0.8888888888888888,2026-07-09 13:59:56.063588,2026-07-09 13:59:56.144089,0 days 00:00:00.080501,tanh,0.0001,"(10,)",1000,COMPLETE
18,0.8148148148148148,2026-07-09 13:59:56.144089,2026-07-09 13:59:56.240414,0 days 00:00:00.096325,tanh,0.0001,"(5,)",1000,COMPLETE
19,0.8888888888888888,2026-07-09 13:59:56.240414,2026-07-09 13:59:56.338186,0 days 00:00:00.097772,tanh,0.0001,"(10,)",1000,COMPLETE
20,0.8888888888888888,2026-07-09 13:59:56.338186,2026-07-09 13:59:56.432476,0 days 00:00:00.094290,tanh,0.0001,"(10,)",1000,COMPLETE
21,0.8888888888888888,2026-07-09 13:59:56.432476,2026-07-09 13:59:56.528605,0 days 00:00:00.096129,tanh,0.0001,"(10,)",1000,COMPLETE
22,0.8888888888888888,2026-07-09 13:59:56.528605,2026-07-09 13:59:56.625035,0 days 00:00:00.096430,tanh,0.0001,"(10,)",1000,COMPLETE
23,0.8888888888888888,2026-07-09 13:59:56.625035,2026-07-09 13:59:56.720956,0 days 00:00:00.095921,tanh,0.0001,"(10,)",1000,COMPLETE
