number,value,datetime_start,datetime_complete,duration,params_booster,params_learning_rate,params_max_delta_step,params_min_child_weight,params_random_state,state
0,0.7993959224767179,2026-07-13 19:13:49.747406,2026-07-13 19:13:49.863729,0 days 00:00:00.116323,gbtree,0.05,0,1,42,COMPLETE
1,0.7100427888245658,2026-07-13 19:13:49.863729,2026-07-13 19:13:49.889245,0 days 00:00:00.025516,gblinear,0.05,0,1,42,COMPLETE
2,0.8089604832620186,2026-07-13 19:13:49.889245,2026-07-13 19:13:51.074784,0 days 00:00:01.185539,dart,0.1,0,1,42,COMPLETE
3,0.7993959224767179,2026-07-13 19:13:51.074784,2026-07-13 19:13:52.314279,0 days 00:00:01.239495,dart,0.05,0,1,42,COMPLETE
4,0.8089604832620186,2026-07-13 19:13:52.314279,2026-07-13 19:13:52.383415,0 days 00:00:00.069136,gbtree,0.1,0,1,42,COMPLETE
5,0.8089604832620186,2026-07-13 19:13:52.383415,2026-07-13 19:13:52.448754,0 days 00:00:00.065339,gbtree,0.1,0,1,42,COMPLETE
6,0.7100427888245658,2026-07-13 19:13:52.448754,2026-07-13 19:13:52.476286,0 days 00:00:00.027532,gblinear,0.05,0,1,42,COMPLETE
7,0.7993959224767179,2026-07-13 19:13:52.476286,2026-07-13 19:13:52.545362,0 days 00:00:00.069076,gbtree,0.05,0,1,42,COMPLETE
8,0.7165869619934558,2026-07-13 19:13:52.545362,2026-07-13 19:13:52.572883,0 days 00:00:00.027521,gblinear,0.1,0,1,42,COMPLETE
9,0.7165869619934558,2026-07-13 19:13:52.572883,2026-07-13 19:13:52.600408,0 days 00:00:00.027525,gblinear,0.1,0,1,42,COMPLETE
10,0.8089604832620186,2026-07-13 19:13:52.600408,2026-07-13 19:13:53.855176,0 days 00:00:01.254768,dart,0.1,0,1,42,COMPLETE
11,0.8089604832620186,2026-07-13 19:13:53.856918,2026-07-13 19:13:55.157560,0 days 00:00:01.300642,dart,0.1,0,1,42,COMPLETE
12,0.8089604832620186,2026-07-13 19:13:55.157560,2026-07-13 19:13:56.384052,0 days 00:00:01.226492,dart,0.1,0,1,42,COMPLETE
13,0.8089604832620186,2026-07-13 19:13:56.384052,2026-07-13 19:13:56.452621,0 days 00:00:00.068569,gbtree,0.1,0,1,42,COMPLETE
14,0.8089604832620186,2026-07-13 19:13:56.452621,2026-07-13 19:13:57.700263,0 days 00:00:01.247642,dart,0.1,0,1,42,COMPLETE
15,0.8089604832620186,2026-07-13 19:13:57.700263,2026-07-13 19:13:57.765411,0 days 00:00:00.065148,gbtree,0.1,0,1,42,COMPLETE
16,0.8089604832620186,2026-07-13 19:13:57.765411,2026-07-13 19:13:59.001474,0 days 00:00:01.236063,dart,0.1,0,1,42,COMPLETE
17,0.8089604832620186,2026-07-13 19:13:59.001474,2026-07-13 19:13:59.066647,0 days 00:00:00.065173,gbtree,0.1,0,1,42,COMPLETE
18,0.8089604832620186,2026-07-13 19:13:59.066647,2026-07-13 19:14:00.356331,0 days 00:00:01.289684,dart,0.1,0,1,42,COMPLETE
19,0.8089604832620186,2026-07-13 19:14:00.356331,2026-07-13 19:14:00.421464,0 days 00:00:00.065133,gbtree,0.1,0,1,42,COMPLETE
20,0.8089604832620186,2026-07-13 19:14:00.421464,2026-07-13 19:14:01.666016,0 days 00:00:01.244552,dart,0.1,0,1,42,COMPLETE
21,0.8089604832620186,2026-07-13 19:14:01.666016,2026-07-13 19:14:01.731405,0 days 00:00:00.065389,gbtree,0.1,0,1,42,COMPLETE
22,0.8089604832620186,2026-07-13 19:14:01.731405,2026-07-13 19:14:01.795931,0 days 00:00:00.064526,gbtree,0.1,0,1,42,COMPLETE
23,0.8089604832620186,2026-07-13 19:14:01.795931,2026-07-13 19:14:01.861221,0 days 00:00:00.065290,gbtree,0.1,0,1,42,COMPLETE
24,0.8089604832620186,2026-07-13 19:14:01.863229,2026-07-13 19:14:01.926260,0 days 00:00:00.063031,gbtree,0.1,0,1,42,COMPLETE
25,0.8089604832620186,2026-07-13 19:14:01.928003,2026-07-13 19:14:01.991241,0 days 00:00:00.063238,gbtree,0.1,0,1,42,COMPLETE
26,0.7993959224767179,2026-07-13 19:14:01.991241,2026-07-13 19:14:02.060316,0 days 00:00:00.069075,gbtree,0.05,0,1,42,COMPLETE
27,0.8089604832620186,2026-07-13 19:14:02.060316,2026-07-13 19:14:02.123816,0 days 00:00:00.063500,gbtree,0.1,0,1,42,COMPLETE
28,0.7165869619934558,2026-07-13 19:14:02.123816,2026-07-13 19:14:02.150823,0 days 00:00:00.027007,gblinear,0.1,0,1,42,COMPLETE
29,0.7993959224767179,2026-07-13 19:14:02.150823,2026-07-13 19:14:03.368744,0 days 00:00:01.217921,dart,0.05,0,1,42,COMPLETE
30,0.8089604832620186,2026-07-13 19:14:03.368744,2026-07-13 19:14:03.437733,0 days 00:00:00.068989,gbtree,0.1,0,1,42,COMPLETE
31,0.8089604832620186,2026-07-13 19:14:03.437733,2026-07-13 19:14:04.676763,0 days 00:00:01.239030,dart,0.1,0,1,42,COMPLETE
32,0.8089604832620186,2026-07-13 19:14:04.676763,2026-07-13 19:14:05.961712,0 days 00:00:01.284949,dart,0.1,0,1,42,COMPLETE
33,0.8089604832620186,2026-07-13 19:14:05.961712,2026-07-13 19:14:07.209941,0 days 00:00:01.248229,dart,0.1,0,1,42,COMPLETE
34,0.7993959224767179,2026-07-13 19:14:07.209941,2026-07-13 19:14:08.490110,0 days 00:00:01.280169,dart,0.05,0,1,42,COMPLETE
