TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value (g/kg),Toxicity Value (mg/kg),MW,Toxicity molar kg unit,pLD50 (molar kg unit)
TOX-10134,glybuzole,"N-(5-tert-butyl-1,3,4-thiadiazol-2-yl)benzenesulfonamide",3489,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,NMWQEPCLNXHPDX-UHFFFAOYSA-N,117.9980163,0.117998016,297.0605687,0.000397219,3.400970302
TOX-10302,Vinca,"methyl 15-ethyl-17-hydroxy-1,11-diazapentacyclo[9.6.2.02,7.08,18.015,19]nonadeca-2,4,6,8(18)-tetraene-17-carboxylate",5668,CCC12CCCN3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32,RXPRRQLKFXBCSJ-UHFFFAOYSA-N,32.99534489,0.032995345,354.1943427,0.000093156,4.030788948
TOX-10735,,"N-[(7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinolin-9-yl)methyl]pyridine-3-carboxamide",13650592,CN1CC(CNC(=O)c2cccnc2)CC2c3cccc4[nH]cc(c34)CC21,GQOZNFZKAFZNAP-UHFFFAOYSA-N,15.00162293,0.015001623,360.1950114,4.16486E-05,4.380399449
TOX-10736,,"N-[(7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinolin-9-yl)methyl]propanamide",78169796,CCC(=O)NCC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,GFPMKMQDZULHSF-UHFFFAOYSA-N,14.99860322,0.014998603,311.1997624,4.81961E-05,4.316988441
TOX-10870,,"ethyl N-[(4,7-dimethyl-6,6a,8,9,10,10a-hexahydroindolo[4,3-fg]quinolin-9-yl)methyl]carbamate",53461915,CCOC(=O)NCC1CC2c3cccc4c3c(cn4C)CC2N(C)C1,QCSUNWHWRGONHJ-UHFFFAOYSA-N,3.999355701,0.003999356,341.2103271,1.17211E-05,4.931032135
TOX-109556,,3-[2-(diethylamino)ethyl]-3-phenyl-1-benzofuran-2-one,6453,CCN(CC)CCC1(c2ccccc2)C(=O)Oc2ccccc21,HPITVGRITATAFY-UHFFFAOYSA-N,22.99933099,0.022999331,309.172879,7.43899E-05,4.128486187
TOX-109562,,2-(methylamino)-1-phenylethanol,913,CNCC(O)c1ccccc1,ZCTYHONEGJTYQV-UHFFFAOYSA-N,45.00029765,0.045000298,151.099714,0.000297819,3.526048256
TOX-11128,PHENBENZAMINE,"N'-benzyl-N,N-dimethyl-N'-phenylethane-1,2-diamine",13751,CN(C)CCN(Cc1ccccc1)c1ccccc1,CHOBRHHOYQKCOU-UHFFFAOYSA-N,14.99958723,0.014999587,254.1782987,5.90121E-05,4.229059161
TOX-11175,,"2-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine",102741,CC(CN(C)C)N1c2ccccc2CCc2ccccc21,FHZGKLYMVPDVIS-UHFFFAOYSA-N,17.99903715,0.017999037,280.1939488,6.42378E-05,4.192209478
TOX-11176,,"1-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-2-amine",102742,CC(CN1c2ccccc2CCc2ccccc21)N(C)C,WMWZAQFDBNMOHR-UHFFFAOYSA-N,12.9993046,0.012999305,280.1939488,0.000046394,4.333538632
TOX-11222,,"2-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-diethylethanamine",74982,CCN(CC)CCN1c2ccccc2CCc2ccccc21,BIBNMUJJPRRCJS-UHFFFAOYSA-N,17.99743243,0.017997432,294.2095988,6.11721E-05,4.213446286
TOX-11321,Metofoline,"1-[2-(4-chlorophenyl)ethyl]-6,7-dimethoxy-2-methyl-3,4-dihydro-1H-isoquinoline",16538,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,YBCPYHQFUMNOJG-UHFFFAOYSA-N,30.00260215,0.030002602,345.1495567,8.69264E-05,4.060848397
TOX-113362,sulfinpyrazone,"4-[2-(benzenesulfinyl)ethyl]-1,2-diphenylpyrazolidine-3,5-dione",5342,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,MBGGBVCUIVRRBF-UHFFFAOYSA-N,195.0043386,0.195004339,404.1194635,0.000482541,3.316465494
TOX-11354,,"N-[(4,7-dimethyl-6,6a,8,9,10,10a-hexahydroindolo[4,3-fg]quinolin-9-yl)methyl]propanamide",78172218,CCC(=O)NCC1CC2c3cccc4c3c(cn4C)CC2N(C)C1,ZYYMXDCJUUXDOG-UHFFFAOYSA-N,9.998279348,0.009998279,325.2154125,3.07436E-05,4.512245853
TOX-11529,Diacetoxyscirpenol,"(11-acetyloxy-10-hydroxy-1,5-dimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-2-yl)methyl acetate",422111,CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,AUGQEEXBDZWUJY-UHFFFAOYSA-N,0.999972708,0.000999973,366.1678532,2.7309E-06,5.563692067
TOX-11638,,1-[ethylsulfanyl(methyl)phosphoryl]oxyethane,520177,CCOP(C)(=O)SCC,AIMOGGQLCCAPQJ-UHFFFAOYSA-N,2.480029487,0.002480029,168.0373873,1.47588E-05,4.830949076
TOX-11686,Proxibarbal,"5-(2-hydroxypropyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",17336,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,VNLMRPAWAMPLNZ-UHFFFAOYSA-N,999.9911593,0.999991159,226.0953569,0.004422874,2.354295483
TOX-11791,,"2-methyl-N-[(7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinolin-9-yl)methyl]propanamide",78172223,CC(C)C(=O)NCC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,BDSVPQAZFFARGB-UHFFFAOYSA-N,7.498709504,0.00749871,325.2154125,2.30577E-05,4.63718459
TOX-11911,Octogen,"1,3,5,7-tetranitro-1,3,5,7-tetrazocane",17596,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,UZGLIIJVICEWHF-UHFFFAOYSA-N,10.00013506,0.010000135,296.0465092,3.37789E-05,4.471354079
TOX-11920,,2-[(2-chlorophenyl)methylidene]propanedinitrile,17604,N#CC(C#N)=Cc1ccccc1Cl,JJNZXLAFIPKXIG-UHFFFAOYSA-N,7.999703102,0.007999703,188.0141258,4.25484E-05,4.371116611
TOX-11929,,"2-(2,4-dichlorophenoxy)acetic acid",1486,O=C(O)COc1ccc(Cl)cc1Cl,OVSKIKFHRZPJSS-UHFFFAOYSA-N,399.9837131,0.399983713,219.9693994,0.001818361,2.740319961
TOX-12187,Delorazepam,"7-chloro-5-(2-chlorophenyl)-1,3-dihydro-1,4-benzodiazepin-2-one",17925,O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,CHIFCDOIPRCHCF-UHFFFAOYSA-N,25.05295511,0.025052955,304.0170183,8.24064E-05,4.084038935
