number,value,datetime_start,datetime_complete,duration,params_algorithm,params_learning_rate,params_n_estimators,params_random_state,state
0,0.8057142857142857,2026-07-08 11:51:36.020301,2026-07-08 11:51:36.127408,0 days 00:00:00.107107,SAMME,1.0,100,42,COMPLETE
1,0.7828571428571428,2026-07-08 11:51:36.127408,2026-07-08 11:51:36.191566,0 days 00:00:00.064158,SAMME,1.0,50,42,COMPLETE
2,0.7828571428571428,2026-07-08 11:51:36.191566,2026-07-08 11:51:36.239955,0 days 00:00:00.048389,SAMME,1.0,50,42,COMPLETE
3,0.8057142857142857,2026-07-08 11:51:36.239955,2026-07-08 11:51:36.347984,0 days 00:00:00.108029,SAMME,1.0,100,42,COMPLETE
4,0.7942857142857143,2026-07-08 11:51:36.347984,2026-07-08 11:51:36.446223,0 days 00:00:00.098239,SAMME,0.8,100,42,COMPLETE
5,0.8057142857142857,2026-07-08 11:51:36.446223,2026-07-08 11:51:36.559389,0 days 00:00:00.113166,SAMME,1.0,100,42,COMPLETE
6,0.7942857142857143,2026-07-08 11:51:36.559389,2026-07-08 11:51:36.659634,0 days 00:00:00.100245,SAMME,0.8,100,42,COMPLETE
7,0.7828571428571428,2026-07-08 11:51:36.659634,2026-07-08 11:51:36.719835,0 days 00:00:00.060201,SAMME,1.0,50,42,COMPLETE
8,0.8057142857142857,2026-07-08 11:51:36.720793,2026-07-08 11:51:36.810521,0 days 00:00:00.089728,SAMME,1.0,100,42,COMPLETE
9,0.7885714285714286,2026-07-08 11:51:36.810521,2026-07-08 11:51:36.874367,0 days 00:00:00.063846,SAMME,0.8,50,42,COMPLETE
10,0.7942857142857143,2026-07-08 11:51:36.874367,2026-07-08 11:51:36.974919,0 days 00:00:00.100552,SAMME,0.8,100,42,COMPLETE
11,0.8057142857142857,2026-07-08 11:51:36.974919,2026-07-08 11:51:37.080644,0 days 00:00:00.105725,SAMME,1.0,100,42,COMPLETE
12,0.8057142857142857,2026-07-08 11:51:37.080644,2026-07-08 11:51:37.191156,0 days 00:00:00.110512,SAMME,1.0,100,42,COMPLETE
13,0.8057142857142857,2026-07-08 11:51:37.191156,2026-07-08 11:51:37.301069,0 days 00:00:00.109913,SAMME,1.0,100,42,COMPLETE
14,0.8057142857142857,2026-07-08 11:51:37.301069,2026-07-08 11:51:37.396351,0 days 00:00:00.095282,SAMME,1.0,100,42,COMPLETE
