number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
0,0.7923875432525952,2026-07-07 17:42:07.180209,2026-07-07 17:42:07.306748,0 days 00:00:00.126539,tanh,0.0005,"(5,)",200,COMPLETE
1,0.8183391003460208,2026-07-07 17:42:07.306748,2026-07-07 17:42:07.448909,0 days 00:00:00.142161,relu,0.0001,"(10,)",200,COMPLETE
2,0.7975778546712803,2026-07-07 17:42:07.448909,2026-07-07 17:42:08.113545,0 days 00:00:00.664636,tanh,0.0001,"(10,)",1000,COMPLETE
3,0.7923875432525952,2026-07-07 17:42:08.113545,2026-07-07 17:42:08.241075,0 days 00:00:00.127530,tanh,0.0005,"(5,)",200,COMPLETE
4,0.7975778546712803,2026-07-07 17:42:08.256901,2026-07-07 17:42:08.920996,0 days 00:00:00.664095,tanh,0.0001,"(10,)",1000,COMPLETE
5,0.801038062283737,2026-07-07 17:42:08.920996,2026-07-07 17:42:09.048048,0 days 00:00:00.127052,relu,0.0005,"(5,)",200,COMPLETE
6,0.8217993079584776,2026-07-07 17:42:09.048048,2026-07-07 17:42:09.522862,0 days 00:00:00.474814,relu,0.0005,"(10,)",1000,COMPLETE
7,0.8217993079584776,2026-07-07 17:42:09.522862,2026-07-07 17:42:10.615122,0 days 00:00:01.092260,logistic,0.0001,"(10,)",1000,COMPLETE
8,0.7923875432525952,2026-07-07 17:42:10.615122,2026-07-07 17:42:10.757800,0 days 00:00:00.142678,tanh,0.0005,"(5,)",200,COMPLETE
9,0.801038062283737,2026-07-07 17:42:10.757800,2026-07-07 17:42:11.296456,0 days 00:00:00.538656,tanh,0.0001,"(5,)",1000,COMPLETE
10,0.8217993079584776,2026-07-07 17:42:11.296456,2026-07-07 17:42:11.786293,0 days 00:00:00.489837,relu,0.0005,"(10,)",1000,COMPLETE
11,0.8217993079584776,2026-07-07 17:42:11.786293,2026-07-07 17:42:12.861730,0 days 00:00:01.075437,logistic,0.0001,"(10,)",1000,COMPLETE
12,0.8217993079584776,2026-07-07 17:42:12.861730,2026-07-07 17:42:13.937889,0 days 00:00:01.076159,logistic,0.0005,"(10,)",1000,COMPLETE
13,0.8217993079584776,2026-07-07 17:42:13.937889,2026-07-07 17:42:15.013854,0 days 00:00:01.075965,logistic,0.0001,"(10,)",1000,COMPLETE
