TAID,Class,BCUTc-1l,BCUTd-1h,BCUTdv-1h,BCUTc-1h,BCUTi-1h,AMID_O,ATS0Z,SpAbs_A,BCUTs-1h,SIC0,BCUTd-1l,VR1_A,ETA_dEpsilon_B,BCUTpe-1l,SpMax_A,Xc-4d
TOX-1403,1,-0.501549081,4.122940568,6.037610696,0.492530947,13.65225058,0.397075114,1418,42.618968,7.009373911,0.225356834,0.972566204,544.0003075,0.01561208,2.265339178,2.825490329,0.38804971
TOX-1414,0,-0.421425453,4.048602742,6.008980844,0.393794108,14.54328594,0.475575487,1566,45.26415115,6.006858419,0.232829056,0.987155396,361.7756436,0.0,2.295637637,2.862475373,0.352965064
TOX-1498,1,-0.489047531,4.048773419,6.031777004,0.456306479,14.54329295,0.449374512,2024,59.53674722,7.009375171,0.223711996,0.972420414,1742.778544,0.017747366,2.243883894,2.870207664,0.324781401
TOX-1866,0,-0.499973736,3.204023861,6.030445206,0.455135127,14.54391307,0.338592636,938,28.76336958,7.009357828,0.272592543,0.97717046,266.030855,0.034931182,2.243884477,2.505757735,0.0
TOX-1890,0,-0.529357385,4.02996245,6.007456461,0.361112215,14.54390392,0.095159945,786,27.21147549,3.51354644,0.226510609,0.987867281,140.9392477,0.023965142,2.232779325,2.608878788,0.083333333
TOX-1989,0,-0.334458776,3.037385507,6.021996044,0.425189693,14.53780102,0.480689889,330,7.72740661,7.008289364,0.397979297,0.972892041,16.81949887,0.0,2.37688812,1.931851653,0.0
TOX-1994,0,-0.395403391,4.022991791,6.013193638,0.400095642,14.54392604,0.409648832,1492,40.57279483,6.004708165,0.248531498,0.987167097,340.1005605,0.0,2.340141857,2.4726547,0.204124145
TOX-2312,0,-0.334158431,3.230645558,6.02203656,0.461514467,14.54024522,0.190270803,732,22.63139471,7.008292009,0.283893229,0.972896451,86.56932943,0.073804714,2.233958948,2.364230304,0.0
TOX-2339,0,-0.362842714,3.31586759,6.024435167,0.467370631,14.54145718,0.340608637,9186,22.94557066,7.010455152,0.422649604,0.971466118,124.3858355,0.065840957,2.226842611,2.480029217,0.0
TOX-2457,0,-0.417517317,3.252832928,6.023297781,0.436862887,14.64079572,0.163395663,920,27.90224523,7.009357529,0.29159108,0.977338752,158.7339081,0.035515873,2.239370145,2.586163506,0.0
TOX-2901,1,-0.487327212,4.121802391,6.028427773,0.452366272,13.64534047,0.538038596,1856,51.80996622,7.008283196,0.221517312,0.977698567,1297.620388,0.006923597,2.277807794,2.723811841,0.38804971
TOX-2926,0,-0.416144156,3.231645763,5.024126915,0.365324742,14.54581127,0.063713485,1538,35.8822374,6.002696298,0.277932861,0.987815323,1143.099728,0.047787684,2.233882501,2.485136365,0.0
TOX-2942,0,-0.42652146,3.212115553,6.022186672,0.436407836,14.55100869,0.126722921,556,18.33056003,7.008277485,0.301672623,0.977806054,63.10491201,0.077333333,2.246769699,2.35166775,0.0
TOX-2975,0,-0.37625589,3.262112376,5.036736995,0.397700666,14.54906428,0.291736475,1462,30.35266401,6.005925096,0.323778416,0.987199774,130.3650849,0.048951049,2.252938914,2.36859411,0.0
TOX-3144,0,-0.328492214,3.037335091,6.021996784,0.468131052,13.6427286,0.995522031,268,5.22625186,7.008289844,0.482816804,0.972632812,8.629874181,0.0,2.41480512,1.847759065,0.0
