TAID,Class,n6ARing,AATSC0v,EState_VSA8,BCUTs-1h,CIC0,PEOE_VSA13,BCUTs-1l,NsOH,AMID_h,AATS1s,AATS0dv,BCUTi-1h,BCUTv-1l,SlogP_VSA5,SlogP_VSA2,SssssC,BCUTdv-1l
TOX-4318,0,0,41.09411913,0.0,6.003750524,2.365760577,0.0,1.270336152,2,0.664216778,3.666666667,4.923076923,13.62450341,14.70716833,6.9237372,22.92390314,0.0,0.993941294
TOX-5527,0,0,42.33582983095889,4.736862953800049,7.008271461043522,2.7804695485952857,0.0,1.2500280621084183,2,0.7803080557742726,4.023148148148148,8.210526315789474,13.642938727273844,14.701068259578353,6.923737199690624,35.5000903944074,0.0,0.995959042266898
TOX-75527,0,0,42.95444074,0.0,7.009354787,2.642092545,0.0,1.246840275,1,0.823907785,3.841269841,8.761904762,14.54359805,14.70177638,6.420821623,41.01427578,0.0,1.977236111
TOX-5811,0,0,42.379370636228415,0.0,6.003743698822129,3.200530996380558,0.0,1.3924851436568806,2,0.7330219322853792,3.2934782608695654,6.083333333333333,13.629138880551,14.705859309962582,0.0,49.854346576758914,0.0,1.895523475991903
TOX-3535,0,1,47.26150101,10.05365156,7.011548955,3.553183117,11.63216532,0.610020957,1,0.808564677,3.746847912,10.41975309,14.54425166,14.6997625,4.877147194,64.45173346,-1.656960782,0.650189627
TOX-2339,0,0,70.13725458,10.63357721,7.010455152,2.804757252,0.0,1.003590264,1,0.804855376,3.996628352,10.72664112,14.54145718,14.70046955,24.20546308,22.89019214,0.0,0.151462965
TOX-74064,0,0,43.61673949,9.473725908,7.009356605,3.095028122,0.0,1.248588824,1,0.749707702,3.90942029,9.166666667,13.64519284,14.69976223,13.8474744,36.36286829,0.0,0.995030773
TOX-3060,0,0,43.72366857,10.3120669,7.015026258,2.995264732,0.0,0.290619416,1,0.965460857,3.435434822,11.32638889,14.75106095,14.69997187,13.34455882,61.45732506,-1.621666667,0.642963563
TOX-5567,0,0,44.61908643,0.0,7.01423016,1.886169425,10.11812686,0.300421149,1,1.250820385,2.709045584,8.174603175,14.5378019,14.70164107,0.0,25.26815687,0.0,0.64007332
TOX-7499,0,0,59.98464921,0.0,7.010470063,2.343775283,0.0,1.004092203,2,0.888073464,4.940458554,14.09754262,14.55152949,14.69977295,20.97693036,26.71876501,0.0,0.151462965
TOX-53387,0,2,45.18992951,26.15902921,7.013792965,4.197853444,11.63216532,0.62210752,2,0.924474368,3.671921922,10.15336463,14.78243916,14.70018063,13.8474744,142.2436172,-2.008887956,0.654582354
TOX-4094,0,1,47.50692103497952,10.633577208012662,7.013777967162892,4.185476388516905,0.0,0.6173146332420815,1,0.6953410128412751,3.4197297044519264,9.08641975308642,14.548818135442769,14.700207191608914,32.37650391991683,97.27424144730804,-0.7577200229490999,0.6593520094973921
TOX-2408,0,0,74.46059113435163,27.907659231074387,7.009369866885037,2.434039773710668,0.0,1.00405564551119,1,0.7739669573468181,3.962727272727273,10.685117845117846,14.54029144649958,14.700683458359954,17.28172587545944,16.983012412144063,0.0,0.151461879047083
TOX-2190,0,0,51.69061768,4.983978521,3.044209631,2.110843723,0.0,1.73444226,0,0.328125,3.454545455,6.363636364,14.54783123,15.58950964,0.0,4.983978521,0.0,2.737477305
TOX-47515,0,1,45.00990397,20.8422406,7.012658269,3.596702284,17.53934505,0.602020044,2,1.008680402,4.020337302,11.73165618,14.78238677,14.69977294,0.0,99.27670239,-1.810973364,0.652423355
TOX-1970,0,1,43.14231083,20.8422406,8.004646691,3.456465368,17.38964205,0.622458279,2,1.020003283,4.03258547,12.41777778,17.42774008,13.30344491,0.0,102.6435164,-2.023452918,0.654573429
TOX-33475,0,1,43.46652278,31.03960422,7.010459867,3.197003846,5.907179729,0.603207341,1,1.055872,3.867929945,11.73333333,14.78234818,14.70046835,0.0,81.11614128,0.0,0.648482295
TOX-39329,0,0,69.19311328,21.26715442,7.013741201,3.959330959,17.72153919,1.001385394,2,0.802191545,3.765794872,10.28351852,14.54640368,14.70018895,48.3556919,79.50999747,0.0,0.15144897
TOX-3302,0,0,63.41327595,70.85286258,7.008271369,4.395545685,0.0,1.004519787,0,0.373855326,2.702054958,6.034139918,14.54327384,14.70172518,55.29454243,36.92430586,0.0,0.151461337
TOX-15020,0,0,70.28999054,21.26715442,7.013754022,4.280022306,11.81435946,1.001390376,2,0.701974493,3.445911111,8.812772773,14.54414748,14.69977294,92.79852769,59.87572825,0.0,0.151448969
TOX-4509,0,0,44.97358566,4.736862954,3.510468636,1.428571429,0.0,1.4,0,0.583333333,2.678571429,6.285714286,13.62687389,14.70687835,0.0,13.21376393,0.0,1.9
TOX-4154,0,1,47.00729348825595,0.0,7.00829008453396,3.2539753436202985,0.0,1.203945406635564,1,0.4676036336903451,2.9252136752136755,4.769230769230769,14.537802511659274,14.70144267909267,25.68328649170404,17.62058908870513,0.0,1.881637592299738
TOX-2523,0,1,44.16711466,26.87300412,7.011562676,3.463655197,11.81435946,0.610220196,2,0.884791206,4.235618597,11.61975309,14.55797276,14.69687168,5.693927995,73.33704729,0.0,0.650207586
TOX-5365,0,0,44.27568653,9.473725908,7.010440995,3.356623066,0.0,1.248358937,0,0.730280137,3.821428571,9.793103448,13.64724032,14.69975984,20.7712116,37.22564618,0.0,0.995030772
TOX-4036,0,0,60.20920585,26.47626355,2.07937047,2.719125699,0.0,1.166831649,0,0.678427478,2.156607225,2.723846654,14.54327357,15.59251591,13.8474744,22.30995663,0.0,0.551721651
TOX-4437,0,0,43.01133003,0.0,7.008810405,2.03386433,0.0,1.814777885,0,0.718073921,3.636363636,6.0,14.5445806,14.70271491,0.0,25.405349,0.0,0.99495404
TOX-2723,0,0,50.44027191,5.316788604,7.010457897,3.950148705,0.0,0.617316299,1,0.575929147,3.077975775,7.608888889,14.54719157,14.70046914,39.30024112,60.55744856,-1.323307545,0.659352501
TOX-1292,0,0,40.129341540613126,4.736862953800049,7.009664521879599,2.750977500432694,0.0,1.1647934146413024,3,0.890449122130447,4.786111111111111,12.2,13.643773286661013,14.700546824466668,0.0,51.99091354659672,0.0,2.8214969397517065
TOX-56573,0,1,46.51379044,25.04340493,7.01046313,3.443925189,11.81435946,0.607530661,1,0.969599137,3.744691358,10.8463357,14.6902058,14.69664286,5.693927995,78.10390887,0.0,0.649716069
TOX-3874,0,1,45.07305322,31.03960422,7.010460507,3.333972682,5.907179729,0.599216653,1,1.019708763,3.748658078,11.10077519,14.78234963,14.70046831,5.007623697,81.11614128,0.0,0.650531507
TOX-8353,0,0,44.62694945,0.0,7.00828979,2.982522334,0.0,1.260053205,1,0.562499433,3.285714286,4.909090909,14.53780811,14.70144323,26.18620207,17.11767351,0.0,0.99393222
TOX-1683,0,0,48.65860873,17.94557775,7.00936713,2.362834368,0.0,1.192260189,1,0.871946526,3.907750343,8.384665367,14.54028049,14.70068342,6.9237372,28.77770685,0.0,0.547205818
TOX-68060,0,0,49.06322129,0.0,7.009371981,3.330369101,0.0,0.623661746,2,0.69945977,3.266203704,8.718954248,14.54335512,14.70057776,19.76538045,51.17813709,0.0,0.659380833
TOX-1703,0,0,45.62821958,0.0,7.008291079,2.494759185,0.0,1.445832887,2,0.516603713,4.743055556,10.625,13.6426631,14.70121877,10.35798868,16.18236008,0.0,2.752035055
TOX-3201,0,0,42.499648238094935,0.0,7.011577582739619,4.121913455886431,0.0,1.2497917936899705,3,0.6004854202393294,4.346960167714885,12.88,13.64975183847882,14.699767610568603,21.109569205892527,46.575923077199946,0.0,1.9788051053391105
TOX-4011,0,1,46.86378612422214,20.842240603617103,7.010464201348058,3.491622120561427,11.63216532332176,0.6220222192493409,1,0.9694464863334804,3.766439909297052,10.453900709219855,14.782375010870586,14.70043315223311,0.0,89.21742718230568,-1.6370638857394813,0.6515682690021399
TOX-3875,0,1,45.37675713,20.29406844,7.011549627,3.547829643,11.81435946,0.610219971,1,0.888478839,3.957294029,11.12529551,14.5579798,14.69655862,12.61766519,75.34031744,0.0,0.650205241
TOX-7490,0,0,45.64081979,0.0,7.009381022,3.812641956,0.0,1.368110658,2,0.363288077,3.994444444,11.02702703,13.64379106,14.7004328,10.35798868,16.18236008,0.0,2.752027108
TOX-31969,0,0,46.62335175,14.69005191,7.014204842,3.026715655,10.02329115,0.298942688,0,0.812559711,3.376687886,9.756272401,14.55730889,14.70176737,0.0,25.49555157,0.0,0.644235676
TOX-5172,0,0,45.57531483933656,4.417150937053347,7.008810706228116,1.9645127704033465,0.0,1.571591038932819,0,0.5274108692095674,4.499999999999999,11.272727272727272,13.638675515209629,14.701636811988308,10.554784602946263,6.286160523129555,0.0,2.7820990328548563
TOX-6564,0,0,45.11253555954347,10.197363616602075,3.0635980751588807,1.6394319446848298,0.0,1.77731073390252,0,0.775,3.888888888888889,7.555555555555555,14.690782369077436,15.44420708415253,0.0,10.197363616602075,0.0,2.781687225641195
TOX-4249,0,0,45.90798599030178,0.0,7.008289669156596,2.778176140466861,0.0,1.1625742257040166,1,0.5687347658118873,3.2625,5.9,14.537813589028994,14.70144299904575,25.68328649170404,16.614757935175902,-0.8888888888888888,1.8388146351137604
TOX-58908,0,0,39.79551681,25.03093139,7.016247178,3.342081247,11.81435946,0.302847726,2,1.1175368,4.297668038,13.52020202,14.55815462,14.6967855,5.693927995,82.25230417,0.0,0.645012935
TOX-7673,0,0,36.86617327,10.85158279,2.619907655,2.333333333,0.0,1.971286832,0,0.890165043,3.022727273,2.833333333,14.6377491,15.49619342,0.0,14.09534397,0.0,0.994910281
TOX-37708,0,0,47.72007775,0.0,7.008292616,3.594823954,0.0,1.262708393,2,0.528986899,3.625420875,8.0,13.64313954,14.70085261,5.563451492,42.60988794,0.0,0.997573953
TOX-5649,0,1,47.53713127,0.0,4.004552527,3.180774567,0.0,1.235523193,0,0.249335466,2.133333333,1.9,14.53780465,15.59610191,32.10410811,6.041840829,0.0,1.824522871
TOX-20787,0,0,45.84508837660778,12.240525803696954,6.002556361494381,3.773999715354212,0.0,1.1827177607969457,1,0.3195429356917292,2.4099462365591395,2.5625,14.540852943146524,14.708163767873897,40.0336764678499,23.797091017649542,-0.4925977891156461,0.9919742217274096
TOX-18640,0,0,48.27728778,5.316788604,7.011585675,5.189848911,11.69042468,1.137073254,5,0.513923338,3.453616352,8.194174757,14.54031779,14.69977072,64.38760057,93.08132844,-2.052935353,0.993039033
TOX-9477,0,0,50.37877982,5.316788604,7.010460063,3.999133372,5.907179729,0.617316971,1,0.527698502,3.254772519,8.361655773,14.54387524,14.70043337,31.12920027,56.60156076,-0.637337827,0.659354121
TOX-17370,0,0,42.79033862,4.983978521,6.003704033,2.938442975,0.0,1.163474775,2,0.859739532,3.764367816,10.2962963,14.56234168,14.70585606,6.227901171,44.68291409,0.0,1.986023719
TOX-21194,0,1,48.81077794,24.06417273,7.009376137,4.328024957,5.907179729,1.354423068,1,0.514654503,3.143442623,7.355932203,14.55128596,14.70056193,40.25737975,66.8486425,0.0,0.9872569
TOX-43795,0,0,44.7821401,25.78580936,7.00827297,3.698115704,0.0,1.268296537,1,0.782261684,3.37398374,7.170731707,14.69130174,14.70122456,20.7712116,47.19749225,0.0,0.987231552
TOX-24046,0,0,49.43016810595042,5.316788604006331,7.011550644408477,4.067762881549236,0.0,0.6173162419916705,1,0.5352145698590574,3.4543264024258176,9.008230452674898,14.543879132013448,14.699771190567734,25.328831937239634,55.96398408478011,-0.7115982771059983,0.6593553982895095
TOX-32459,0,1,46.22926374,9.998591539,7.0082778,3.442658562,0.0,1.376706712,0,0.711758202,3.065873016,7.705882353,14.692668,14.70233784,6.9237372,42.69064345,0.0,0.987937051
TOX-1743,0,0,49.53903314,5.316788604,7.006631024,2.850662478,0.0,0.273718159,2,1.062701389,2.494119535,4.879743941,14.5406454,14.70473774,6.420821623,35.17394603,0.0,0.485179595
TOX-2759,0,3,43.05478078,10.63357721,7.008280621,4.708122812,0.0,1.1298698,7,0.80601797,3.404265873,7.195121951,14.54378852,14.70200831,13.34455882,159.6392625,-1.45292261,0.995036463
TOX-22907,0,1,46.23032439,0.0,7.009389344,3.634556156,0.0,1.354423975,2,0.563729751,3.902083333,10.52631579,14.55090336,14.69977287,26.40990535,40.9383601,0.0,0.996623291
TOX-2688,0,0,46.36165519,5.316788604,7.014583914,2.958841822,0.0,0.300193221,1,0.783823439,3.516149146,10.62654321,14.54059382,14.69996727,16.11823609,19.49362967,0.0,0.642093542
TOX-16401,0,2,48.43159732,5.316788604,7.010444048,3.857691513,0.0,1.229084909,0,0.503779817,2.732804233,6.048780488,14.54634609,14.70178022,58.29031018,28.78722453,0.0,0.987937987
TOX-2391,0,0,36.86617327414606,0.0,4.006081277358171,2.333333333333333,0.0,1.8421693118276876,0,0.8720084679281462,3.272727272727273,3.0,14.64779624377037,15.486173287762576,0.0,19.104256489308916,0.0,0.9949535420801116
TOX-58778,0,1,48.15027457,46.50327328,3.510013808,3.733929029,0.0,1.37771499,0,0.63018364,2.967479675,6.923076923,14.69133815,14.70681571,11.38785599,41.1767428,0.0,0.995029081
TOX-2966,0,0,50.81480627,0.0,7.014576033,3.600429976,0.0,0.297592844,1,0.594735728,2.789554906,6.85380117,14.54269146,14.69997561,37.04710632,36.88835847,0.0,0.644911862
TOX-68129,0,4,49.93902957,10.21669833,7.009356184,3.759891027,11.81435946,1.177755149,0,0.574699068,2.839090272,7.53647587,14.54546132,14.70177761,23.19963192,56.04493318,0.0,0.774000048
TOX-32230,0,0,50.97553593,0.0,6.002599125,3.584687204,0.0,1.205974714,1,0.28720799,2.822222222,4.4,14.54453504,14.7081635,18.59115508,30.14362192,0.0,0.992861924
