TAID,Class,BCUTs-1l,NsssCH,BCUTi-1l,Xc-6d,BCUTpe-1l,Xc-4d,ATSC1d,ATSC1p,PEOE_VSA1,ATSC4v,PEOE_VSA9,AATSC1d,AATSC0i,BCUTd-1h,SlogP_VSA5,AXp-1d,ATSC1dv,BCUTZ-1l,SpMax_A
TOX-1396,0,1.2519120589079231,1,10.954492361218623,0.0,2.2418747525508604,0.0,5.761245674740484,0.7786552801234063,31.56427799580346,-295.5166299,18.43552797237411,0.1087027485800091,1.6087912817710837,3.245187301135335,28.893559916469297,0.4477427778238309,41.71587850826605,5.693276244555039,2.4106286405160304
TOX-1414,0,1.0512952648838931,11,11.008903303198204,0.4038555803121849,2.2956376366305395,0.3529650639515844,47.73978531855957,0.6439680799778197,44.48008878940372,-602.2265266,31.02274751550613,0.5893800656612292,1.240631770315878,4.048602741563096,19.765380445542643,0.4150747755717155,62.34279778393351,5.747641218508633,2.862475372739646
TOX-1498,1,1.0511554286928697,11,10.95486494,0.3488657667637334,2.243883893606116,0.3247814008306239,50.40894901144644,-0.625021459,43.74075990732241,-2.010433994,30.48223261945482,0.5091813031459236,1.2984352715610623,4.048773419108508,37.04710632100208,0.4228042257210342,107.42594519597635,5.69448615,2.870207664106066
TOX-1680,0,1.2084271480772195,2,10.954283067939045,0.0,2.243773984281044,0.0,5.555555555555558,0.2165339311851888,10.423315998847038,-507.5405861,6.103966387748303,0.205761316872428,1.3673266704201903,3.159977166625344,18.591155079135923,0.4794349048020046,15.000000000000009,5.693942043503929,2.2638209778523963
TOX-1774,1,1.3529708457084124,0,10.953829564302318,0.0,2.2404197837132167,0.0,10.440000000000008,-1.413234515,20.10730311561276,-810.3019139,17.857719730893475,0.2088000000000001,1.3217021360681125,3.181388219537579,43.97084352069271,0.4825873710354695,69.55999999999996,5.692503718739997,2.3294931962935865
TOX-1837,0,1.1733049414790129,3,10.95392123586639,0.0,2.2419115703002648,0.0,2.625,1.2323556000000002,15.529843393687743,-223.506864,17.57203384247855,0.08203125,1.3479671830380264,3.162827177248764,11.66741788,0.4681139881452338,8.715277777777779,5.692877143454867,2.3360457382840765
TOX-1866,1,1.1602724211759143,4,10.954865415846692,0.0,2.2438844766958264,0.0,10.847485127095728,-0.997438676,9.473725907600098,-1012.588272,12.673249032974528,0.2410552250465717,1.370294354172329,3.2040238610646936,29.620453544546848,0.4422246751220914,54.87560843699297,5.69448662,2.505757734923883
TOX-1918,0,1.23114026793743,1,10.958201068990125,0.0,2.238596104847796,0.0,10.165980795610423,-0.740817656,14.867866772744891,-530.4780671,22.066802870465047,0.1752755309588003,1.5467554399190175,3.284090983939181,25.30430569792599,0.4293340231860006,64.78973394977052,5.694691498093356,2.4913768174989044
TOX-1954,0,1.3755942609315568,0,11.145187313663682,0.0,2.4008124870538654,0.0,-0.25,-0.822621941,20.426109579362823,418.9362089350009,26.17902562,-0.007142857,1.215486313189876,3.0548709879486675,0.0,0.4842781609555599,20.811728395061724,5.873862267574175,2.2105086495394835
TOX-2063,0,0.6100528768138922,0,10.311411416961349,0.0,2.277449657138527,0.0,6.130021913805697,-0.576651177,9.799819461700954,435.8163891387037,6.544756405912575,0.1613163661527815,1.6195206381427436,3.131360157061503,4.877147193701299,0.4607379050222889,29.43754565376189,5.733553028099708,2.303859704048619
