TAID,Class,BCUTi-1l,BCUTv-1l,BCUTi-1h,SIC0,fragCpx,BCUTdv-1h,SlogP_VSA2,BCUTd-1h,BCUTZ-1h,ATSC0i,BCUTZ-1l,EState_VSA8,ETA_psi_1,BCUTdv-1l,PEOE_VSA7,IC0,AATSC0v,Xch-6dv,BCUTd-1l
TOX-40836,0,10.95441103,15.58664788,14.55446616,0.24951125,14.02,5.030741548,31.37562989,3.057250995,7.061468089,45.92487125,5.694088681,36.18161021,0.641509434,0.993046823,18.90801031,1.247556249,51.6012981,0.032075015,0.988604099
TOX-3860,0,10.33782319,14.70025852,14.54980374,0.315669314,233.12,6.027053819,80.04633036,4.023087215,16.00200476,87.05027668,5.693944149,15.95036581,0.506833713,0.659355208,19.41092589,1.824997852,47.17192494,0.706639411,0.972374045
TOX-13252,1,10.95368827,13.30412171,17.42477021,0.299572802,55.04,7.004055303,43.53118782,3.136209503,9.004064054,70.3622737,5.69306112,4.899909731,0.533779671,1.857045935,37.2310463,1.54876892,49.91024089,0.073421324,0.977999016
TOX-36799,0,10.30203807,14.70144174,14.54023358,0.384075392,15.05,6.022011472,21.4382076,3.124318604,16.0064867,44.43362176,5.694107752,17.94557775,0.596401028,0.551722893,5.563451492,1.805323228,55.16861015,0.032075015,0.971491201
TOX-5071,0,10.30619053,15.58935884,14.54804726,0.323142135,46.04,5.044147603,10.52290377,4.017038103,16.00610335,51.15104399,5.697475586,36.54365205,0.673239437,0.651768622,44.8518687,1.56981835,57.81140096,0.190687268,0.98989867
TOX-10709,1,10.93602442,14.70178986,13.63961239,0.238146908,97.08,6.023357926,44.20892441,3.324096889,8.024729274,80.70313761,5.675382442,0.0,0.514018692,0.987144349,26.68911765,1.417973441,49.09813362,0.03125,0.977236245
TOX-22301,1,10.99422516,15.57842765,14.56456812,0.35508603,11.03,5.090587239,11.94758171,3.135198755,7.090912174,32.31989109,5.726280553,0.0,0.584269663,0.996971772,6.076020107,1.480682115,47.26036908,0.0248452,0.910849987
TOX-52098,0,10.4353455,14.70177777,14.54433677,0.336233313,30.13,6.024466124,83.70653027,3.326028509,53.00226856,84.15257597,5.687500519,10.63357721,0.632008517,0.151462965,67.77261188,1.91667773,64.14869716,0.015625,0.972419011
TOX-30568,1,11.07099144,15.59209631,14.54389868,0.224596647,10.01,5.011349211,24.53417895,3.116850921,7.031551498,36.13571014,5.808290495,18.87131891,0.662162162,0.98785919,32.85489326,1.091086244,48.3102572,0.064549722,0.98782404
TOX-55831,1,11.06931029,14.70630535,14.54022794,0.227189957,15.03,6.005842783,36.00502379,4.017035809,8.010492132,52.71065373,5.80601109,39.9354746,0.576142132,0.98714568,34.11577042,1.24769387,46.34382973,0.0,0.987139954
TOX-51714,0,10.31746644,14.70020199,14.56095579,0.42305166,16.09,6.025879951,23.80776546,4.038014914,16.01346869,41.05433263,5.766748144,4.183085433,0.436363636,0.616898284,0.0,2.011563049,43.48198811,0.0125,0.968089579
TOX-47207,0,10.43534758,14.70068323,14.54029335,0.314495526,23.07,6.023207784,16.98301241,3.276190617,53.0022681,69.15690274,5.692712425,80.01313768,0.792885375,0.151461879,98.66489531,1.70653599,73.12293505,0.018042196,0.972584114
