TAID,Class,BCUTi-1l,BCUTdv-1h,BCUTs-1l,BCUTi-1h,BCUTZ-1l,BCUTs-1h,BCUTd-1h,BCUTv-1l,SIC0,BCUTse-1l,BCUTse-1h,BCUTdv-1l,EState_VSA8,nBase,PEOE_VSA7,SLogP,SMR_VSA6,BCUTZ-1h,SMR_VSA3,AATSC0v,ETA_dEpsilon_D
TOX-2523,0,10.31186697,6.026312685,0.610220196,14.55797276,5.71767983,7.011562676,3.270981916,14.69687168,0.369310297,2.459598451,3.71865921,0.650207586,26.87300412,0,5.57310453,-0.5448,18.09340305,16.00488932,15.20067686,44.16711466,0.094761905
TOX-6579,1,10.17951644,6.00723547,0.239108744,13.62979699,5.887652475,3.512435787,4.029434152,14.70743206,0.348581086,2.400735947,3.684612158,0.369681046,6.9237372,0,31.40718409,3.7277,24.05150313,16.05260714,0.0,61.61304823,0.0
TOX-70042,1,10.95191548,6.028555899,1.350476155,14.54433633,5.691155413,7.009359698,3.239703872,14.70068346,0.257805194,2.4357489,3.714933208,0.987226836,16.69994428,1,55.63614104,4.0179,29.91309311,8.029268381,5.316788604,50.42671655,0.035
TOX-25366,1,11.00217208,6.023123797,1.08598561,13.63808815,5.741695602,7.009356898,4.030688605,14.70178964,0.209765778,2.486353882,3.703154858,0.99501756,13.8474744,0,80.45318764,3.7742,0.0,8.023367715,0.0,51.48814582,0.019833333
TOX-2645,1,10.94295998,6.009593583,1.094590675,14.54390726,5.682476606,6.002602168,4.034937757,14.70584344,0.254153952,2.427611426,3.68068958,0.987935372,24.08996889,1,44.98762739,1.8912,20.19931035,8.012246984,4.899909731,51.45868919,0.021557971
TOX-39146,0,10.9601159,6.007537415,1.250027419,14.53782051,5.698722892,6.003755376,3.059729528,14.7061943,0.334023609,2.442870032,3.677658612,1.978032891,0.0,0,24.26546827,0.0008,18.94743141,8.011033246,0.0,47.42038044,0.142986425
TOX-2310,0,10.95265193,6.022140007,1.262491846,13.64270423,5.692238726,7.008291793,3.164231891,14.7011725,0.270867404,2.437400683,3.71381131,0.993949492,0.0,0,36.75265697,3.667,0.0,8.028785086,0.0,51.10520713,0.027777778
TOX-65247,0,10.31130315,7.004058901,0.296103299,17.42477246,5.699433574,8.001920358,4.048712497,13.30411962,0.341609955,2.436882253,4.009952826,0.644222833,9.984809465,5,62.37841095,1.844,4.899909731,16.01301295,0.0,48.33736907,0.078534799
TOX-30833,0,10.31285205,6.023155178,1.182003492,14.54024439,5.699499665,7.0093548,3.190370641,14.70179197,0.367384399,2.442638214,3.70347845,0.653457123,5.316788604,0,30.6862899,3.0176,5.316788604,17.00110339,0.0,53.22882951,0.029490393
TOX-73666,1,10.97958741,6.029090348,1.147777553,14.54340326,5.719021206,7.010444432,4.029776659,14.70047595,0.255574131,2.463099364,3.715100177,0.991060551,6.076020107,0,50.86365741,2.9649,6.730816747,8.029726605,4.899909731,50.3475794,0.0
TOX-63910,1,10.95431101,6.02841762,1.189961835,14.54452658,5.693974586,7.008272584,3.192605069,14.7014575,0.223840847,2.439833678,3.714689918,0.988904466,30.88011827,1,56.79891325,4.8607,26.17902562,8.028870978,9.799819462,50.97553593,0.0
TOX-2627,1,10.95312213,5.015787168,1.259050003,14.54085044,5.692583815,6.004914719,3.179478995,14.70714934,0.334023609,2.437041877,3.67237427,0.995961579,5.316788604,1,24.74385761,0.3506,13.59242839,8.008688387,5.316788604,47.42038044,0.142986425
TOX-4014,0,10.31186777,6.02576155,0.610221033,14.55134155,5.727961394,7.011559036,3.233339932,14.69977294,0.374413489,2.468017902,3.717671229,0.650207714,10.30076712,0,6.076020107,-0.0482,11.48652108,16.00488872,15.20067686,45.61282545,0.101466049
TOX-3948,1,10.98681449,5.022657067,1.246032851,14.54817379,5.722505763,3.044092359,3.161502347,15.5892377,0.275663104,2.463110629,3.28756393,0.996968248,22.9979273,1,38.06389019,1.8483,13.59242839,7.044521549,9.883888252,51.51934916,0.0
TOX-10763,1,10.95368818,7.00405824,1.154481099,17.42477221,5.693061042,8.001920244,4.029724452,13.30412001,0.25949178,2.437911631,4.00994707,1.826488574,9.799819462,2,76.00384561,2.5944,32.72378203,9.0040681,9.799819462,49.8052404,0.037414097
TOX-73067,1,10.94368219,5.013288651,1.110649422,14.54327139,5.683238746,6.002806972,4.029947664,14.70816129,0.214224103,2.428628599,3.668030827,0.98768015,44.7372457,1,68.83223884,4.2727,13.08951281,8.006131982,4.899909731,52.70793565,0.01969697
TOX-66175,0,10.94679811,6.024843611,1.34981384,14.56003815,5.686227923,7.010468285,3.285059251,14.70040527,0.27898691,2.430377089,3.715042607,0.987848439,4.983978521,0,31.54366003,2.7613,0.0,8.03001305,9.384673127,48.09376451,0.03625
TOX-63922,1,10.95431102,6.028417024,1.18996184,14.54452579,5.693974603,7.008272378,3.192598391,14.70145777,0.229298824,2.439833694,3.714685952,0.988905915,30.88011827,1,56.79891325,4.4706,26.17902562,8.028869684,9.799819462,50.95354775,0.0
TOX-54106,0,11.03136865,6.022032041,1.138362893,13.64266081,5.770771305,7.008291235,4.024901085,14.70121765,0.264013833,2.514442518,3.713758123,0.993936814,0.0,0,26.18620207,1.7924,0.0,8.028741811,0.0,47.93189043,0.076923077
TOX-4934,0,10.31915099,6.019736348,0.298670041,14.54444319,5.695009831,7.016347741,4.045328226,14.70023357,0.392061953,2.434930122,3.771700752,0.641858337,10.03888347,0,17.69618563,2.4235,5.316788604,17.0011064,4.722094864,50.76538021,0.082832723
TOX-70041,1,10.94267312,6.028555837,1.433218751,14.54438987,5.682123187,7.009359398,3.239923195,14.70068356,0.270745537,2.42778266,3.714931505,0.987226836,10.63357721,1,42.79449779,4.013,29.91309311,8.0292671,5.316788604,50.06677751,0.036526181
TOX-47946,0,10.99763473,6.022239078,1.354182543,14.56001979,5.726933665,7.008277196,3.284161938,14.70269516,0.302090377,2.455271974,3.704246733,0.987851367,11.90771572,0,25.47729296,1.95542,0.0,8.022244657,9.384673127,50.90738736,0.0
TOX-40116,0,10.33723031,5.024010695,0.628230643,14.54609669,5.697957301,2.268911983,3.230851662,15.59129507,0.254153952,2.434817121,3.27281103,0.660651664,70.27833772,2,31.31314026,3.5367,51.21612015,16.0020041,9.799819462,54.54543642,0.0
TOX-38086,1,10.94334728,6.009836703,1.090949748,14.86030452,5.682849327,6.027340709,4.034938865,14.7062905,0.276740929,2.427879567,3.677972929,1.8910345,28.05597912,1,49.7757675,3.12778,13.08951281,8.010654613,4.899909731,49.71337904,0.020205128
TOX-109680,1,10.95292301,6.028337523,1.135811655,14.5432707,5.692579539,7.008272804,4.03369965,14.70120835,0.229506492,2.438267055,3.714465723,0.988008462,11.82364693,1,44.3362508,3.482,19.63426922,8.029000187,4.899909731,51.0607858,0.019538462
TOX-1815,0,10.31977202,6.02250697,0.298942955,14.54453812,5.699276171,7.014572749,4.043805318,14.70106934,0.34799915,2.440358397,3.768275636,0.644235312,5.316788604,0,30.6862899,1.0568,12.27842388,16.01312198,10.03888347,49.1136445,0.110774411
TOX-8139,0,10.99116855,6.023216188,1.192343832,14.54028159,5.730227026,7.009356865,3.271031995,14.70178586,0.314476617,2.47173206,3.704067811,0.987619899,5.316788604,0,12.84164325,0.932,0.0,8.0234626,5.316788604,47.93716154,0.074107143
TOX-18125,0,10.95918091,5.044850726,1.304733815,14.56261143,5.694955368,5.013227223,3.19452086,15.58492707,0.325424004,2.436107339,3.493002025,0.774006301,20.60153425,3,36.39820241,3.67507,10.63357721,17.00110262,9.967957042,48.13130931,0.089047619
TOX-1904,0,10.93154828,5.17019184,1.389184112,14.69164724,5.6693989,4.009225603,3.265900822,15.44409184,0.339061698,2.412741745,3.390680786,2.751970353,21.04894641,0,0.0,0.201,10.85158279,7.173095189,10.19736362,43.80038569,0.171428571
TOX-2714,0,11.14684529,6.021995468,1.447427986,14.53780108,5.881260087,7.00828898,3.037335091,14.70144412,0.530103,2.607910484,3.713645941,1.983123766,5.733667477,1,0.0,-0.9703,6.544756406,8.028625306,0.0,37.77068067,0.295
TOX-18279,0,10.96082765,5.166904598,1.532288657,14.69305077,5.699605935,3.068216988,3.141061779,15.443249,0.35508603,2.444299624,3.405653902,2.734416767,10.08266033,0,12.13273414,1.2673,0.0,7.179792014,14.76446326,47.26036908,0.0
TOX-21265,1,10.9477993,6.006189192,1.260003458,14.54466061,5.687551868,6.002697255,3.19242151,14.70585967,0.254043805,2.432531661,3.679297775,0.773999898,52.26438894,2,23.25963712,3.0725,65.75819185,17.0011035,9.799819462,52.00248194,0.017684729
TOX-15638,1,10.97540337,5.013807565,1.07687879,14.54328063,5.715089104,6.003658581,4.034352033,14.70720224,0.195074566,2.460992905,3.66894612,0.993033299,38.67087864,1,92.28899973,4.6258,6.544756406,8.007231906,4.899909731,51.67969522,0.029027778
TOX-30503,0,11.09386082,6.006115163,1.248449912,14.54326621,5.833465927,6.002599674,3.038536019,14.70588777,0.263616272,2.578654053,3.67820911,0.987938302,11.82364693,1,6.420821623,0.4962,46.06179708,8.011815943,4.899909731,46.0096202,0.03625
TOX-1842,1,10.93685987,5.033855156,1.25738693,14.54840954,5.673660512,3.039208473,3.240030276,15.58918536,0.24639538,2.414684515,3.492993245,0.773993898,35.97188845,1,63.66511794,4.8106,24.95105782,17.00110278,9.883888252,53.01322605,0.021118012
TOX-24344,1,10.94951389,5.012828037,1.042714719,14.54023049,5.693095426,6.003766404,3.231837143,14.70720151,0.276992094,2.433797144,3.669282743,0.255078975,68.36588187,1,81.80864256,4.95,0.0,35.00142646,5.316788604,58.23151153,0.054012346
TOX-7792,1,10.95312194,5.01634061,1.258205698,14.5445319,5.692582838,6.004915428,3.179552773,14.70714934,0.314476617,2.437039088,3.67238229,0.994944788,0.0,1,31.79152959,0.6928,20.64010037,8.008690561,4.899909731,47.93716154,0.104621849
TOX-7311,1,10.95371397,6.028129756,1.351975364,14.54483399,5.692499919,7.008272048,3.205215278,14.70123487,0.269831805,2.436287184,3.71409851,0.987731264,12.2405258,1,32.64889973,2.3226,39.10852735,8.028894308,4.899909731,48.6444489,0.050454545
TOX-4325,0,10.31915746,6.019723773,0.298673697,14.55325867,5.699069127,7.016340125,4.045290966,14.70023357,0.520230456,2.434651017,3.771618517,0.641877952,4.992404733,2,12.13273414,-0.0609,0.0,17.00110457,4.722094864,42.68265219,0.108403361
TOX-70038,1,10.95191548,6.028533132,1.350476162,14.54438884,5.691155466,7.009358891,3.239688063,14.7006244,0.273081953,2.43575053,3.715416128,0.987926222,21.43680723,1,48.71240384,3.2377,30.41600869,8.02953417,5.316788604,49.90055656,0.038186813
TOX-2457,0,10.95312551,6.023297781,1.239526035,14.64079572,5.691256714,7.009357529,3.252832928,14.70177847,0.29159108,2.43506963,3.70440454,0.987684343,4.992404733,3,31.04074445,2.06422,19.10425649,8.023348966,9.908822255,48.81657506,0.0
TOX-25472,1,11.15209375,6.010619129,1.37167595,14.54448144,5.883130348,3.51636652,3.03134209,14.70586002,0.245081819,2.612373351,3.684699381,1.89336086,9.799819462,2,0.0,-0.2828,118.551122,8.016374375,9.799819462,45.72419097,0.0
TOX-37664,0,10.98579104,5.011675506,1.166601991,14.54366471,5.724681273,2.518642365,3.173089608,15.59216961,0.223150575,2.469613502,3.258087591,1.837071293,16.29271844,2,57.02943302,2.169,19.63426922,7.030008162,10.21669833,51.5244054,0.024836601
TOX-3049,1,10.33751869,5.006109431,0.623885671,14.54022328,5.693809063,6.002601582,3.160335646,14.70816195,0.21720862,2.436722605,3.667586452,0.659297759,57.27720568,1,37.58550086,5.5591,6.544756406,16.00200371,5.316788604,52.94950705,0.036985507
TOX-3874,0,10.30562462,6.024512581,0.599216653,14.78234963,5.737152102,7.010460507,3.270732766,14.70046831,0.385586065,2.47514306,3.714730711,0.650531507,31.03960422,0,22.92361192,-0.63608,11.50570721,16.00653665,40.62131689,45.07305322,0.041527623
