model_id,descriptor_order,descriptor_name,descriptor_source
cat_svc,1,BCUTc-1l,data/training_files/cat_selected_descriptors_train.csv
cat_svc,2,BCUTd-1h,data/training_files/cat_selected_descriptors_train.csv
cat_svc,3,BCUTdv-1h,data/training_files/cat_selected_descriptors_train.csv
cat_svc,4,BCUTc-1h,data/training_files/cat_selected_descriptors_train.csv
cat_svc,5,BCUTi-1h,data/training_files/cat_selected_descriptors_train.csv
cat_svc,6,AMID_O,data/training_files/cat_selected_descriptors_train.csv
cat_svc,7,ATS0Z,data/training_files/cat_selected_descriptors_train.csv
cat_svc,8,SpAbs_A,data/training_files/cat_selected_descriptors_train.csv
cat_svc,9,BCUTs-1h,data/training_files/cat_selected_descriptors_train.csv
cat_svc,10,SIC0,data/training_files/cat_selected_descriptors_train.csv
cat_svc,11,BCUTd-1l,data/training_files/cat_selected_descriptors_train.csv
cat_svc,12,VR1_A,data/training_files/cat_selected_descriptors_train.csv
cat_svc,13,ETA_dEpsilon_B,data/training_files/cat_selected_descriptors_train.csv
cat_svc,14,BCUTpe-1l,data/training_files/cat_selected_descriptors_train.csv
cat_svc,15,SpMax_A,data/training_files/cat_selected_descriptors_train.csv
cat_svc,16,Xc-4d,data/training_files/cat_selected_descriptors_train.csv
dog_decisiontree,1,n6ARing,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,2,AATSC0v,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,3,EState_VSA8,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,4,BCUTs-1h,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,5,CIC0,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,6,PEOE_VSA13,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,7,BCUTs-1l,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,8,NsOH,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,9,AMID_h,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,10,AATS1s,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,11,AATS0dv,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,12,BCUTi-1h,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,13,BCUTv-1l,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,14,SlogP_VSA5,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,15,SlogP_VSA2,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,16,SssssC,data/training_files/dog_selected_descriptors_train.csv
dog_decisiontree,17,BCUTdv-1l,data/training_files/dog_selected_descriptors_train.csv
guinea_pig_mlp,1,BCUTs-1l,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,2,NsssCH,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,3,BCUTi-1l,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,4,Xc-6d,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,5,BCUTpe-1l,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,6,Xc-4d,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,7,ATSC1d,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,8,ATSC1p,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,9,PEOE_VSA1,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,10,ATSC4v,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
guinea_pig_mlp,11,PEOE_VSA9,data/training_files/guinea_pig_selected_descriptors_train_fiore2.csv
